,IDS,Number,deltas,full_01,133_01,104_01,102_01,61_01,56_01,VPDB etc. Deltas,VPDB etc. Deltas Error,Relative Deltas,Relative Deltas Error,M1 M+N Relative Abundance,M1 M+N Relative Abundance Error,UM1,UM1 Error,Calc U Values,Calc U Values Error
Cmethyl,C,1,-62.39205907098091,1,1,1,x,1,x,-62.39205907098091,2.1323591431064814,-15.117709108173237,2.239873049481592,0.1536511834036402,0.0003603464572778277,0.0682224410914492,1.659619864249888e-05,0.010482456779586447,2.3839775219930468e-05
Cgamma,C,1,-23.91538796775508,1,1,1,1,1,1,-23.91538796775508,3.2669035075472905,-6.023816667775023,3.3267856492334946,0.15995651933155902,0.0005262285093803874,0.0682224410914492,1.659619864249888e-05,0.010912625962520498,3.6523981214378726e-05
Calphabeta,C,2,-37.74705549677379,1,1,1,1,x,1,-37.74705549677379,1.5410139013907644,0.26293607403999547,1.6018855523812545,0.31537974577748457,0.0005018630419706666,0.0682224410914492,1.659619864249888e-05,0.02151597583909215,3.4457070835097484e-05
Ccarboxyl,C,1,-3.224942919322753,1,1,x,1,x,x,-3.224942919322753,1.8926609860084533,4.813565605521235,1.9079243810569142,0.16334723827488043,0.00032429485696155265,0.0682224410914492,1.659619864249888e-05,0.011143945138161993,2.1159949823574486e-05
Ocarboxyl,O,2,12.901486046197142,1,1,x,1,x,x,12.901486046197142,2.595168965577154,-11.803428247612482,2.5318721615386885,0.011280779391111216,2.734810272943794e-05,0.0682224410914492,1.659619864249888e-05,0.0007696025490979003,1.971809380045519e-06
Ssulfur,S,1,2.2918220469532025,1,1,1,x,1,x,2.2918220469532025,0.9841467607426798,2.2918220469531976,0.9841467607426713,0.1157251423565073,9.386724034681969e-05,0.0682224410914492,1.659619864249888e-05,0.00789505268226385,7.752124034370075e-06
Namine,N,1,10.054206837297196,1,x,1,1,x,1,10.054206837297196,0.9734774060272731,10.05420683729706,0.9734774060272696,0.05442430552982294,4.603324005538093e-05,0.0682224410914492,1.659619864249888e-05,0.0037129592643339025,3.578502944556253e-06
Hmethyl,H,3,-361.45101074113177,1,1,1,x,1,x,-361.45101074113177,13.068824484290715,-290.50112304570183,14.52091609365635,0.004373653428198201,8.960668715087828e-05,0.0682224410914492,1.659619864249888e-05,0.0002983811717008843,6.106800305019364e-06
Hgamma,H,2,15.998484303641856,1,1,1,1,1,1,15.998484303641856,24.720236619857086,-76.36501426941663,22.472942381688227,0.004639293872444858,0.00011293460015074087,0.0682224410914492,1.659619864249888e-05,0.0003165038478302714,7.700848111817877e-06
Halphabeta,H,3,92.87758672416373,1,1,1,1,x,1,92.87758672416373,24.592807210349605,-6.474921159851282,22.357097463954172,0.00748549865893554,0.0001678810582849153,0.0682224410914492,1.659619864249888e-05,0.0005106798387244664,1.1491726953252165e-05
Hamine,H,2,4.360192465445818,1,x,1,1,x,x,4.360192465445818,46.063837397272565,115.955769406051,51.18204155252506,0.004586169641103223,0.000210780224927424,0.0682224410914492,1.659619864249888e-05,0.00031287828715683655,1.4349806625998345e-05
Hhydroxyl,H,1,309.8562644769318,1,1,x,1,x,1,309.8562644769318,59.30655200799095,247.4821566446962,56.48243048380089,0.002990560038096033,0.00013542985305492816,0.0682224410914492,1.659619864249888e-05,0.0002040232117549268,9.237588540764677e-06
Hprotonated,H,1,-54.04424151892013,1,x,x,x,x,x,-54.04424151892013,108.88548914291425,-4.257096335705434,114.61630436096239,0.002159698875745938,0.0002483205300355584,0.0682224410914492,1.659619864249888e-05,0.00014734206894101301,1.696000378890035e-05
,Stochastic U,Composition,Number,Condensed,M2 M+N Relative Abundance,M2 M+N Relative Abundance Error,UM2,UM2 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
33S Ssulfur   |   15N Namine,2.9314008999015818e-05,33S15N,1,000000011000000000000,0.0005808745359714356,1.0746108265883357e-06,0.05047171462091797,1.1344187858869259e-05,2.93177338727085e-05,5.466934829524306e-08,,,0.12706804084076662,1.8649563864525818,12.497711091648002,1.8880241650372784
34S Ssulfur,0.04435912974821511,34S,1,000000020000000000000,0.8792432194632439,0.00017322576856058588,0.05047171462091797,1.1344187858869259e-05,0.044376911108239846,4.569863730909668e-06,4.852773800453118,0.10347814057391867,,,4.8527738004537415,0.1034781405739167
,Stochastic U,Composition,Number,Condensed,M3 M+N Relative Abundance,M3 M+N Relative Abundance Error,UM3,UM3 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
13C Cgamma   |   13C Calphabeta   |   13C Calphabeta,1.262965171425994e-06,13C13C13C,1,011100000000000000000,0.0004228070360564262,7.334374592211334e-07,0.002988594613279645,1.2976642153216346e-05,1.2635989016880387e-06,5.923312675634677e-09,,,0.5017796819608984,4.690004767864469,-5.002024188111961,4.6642048473483495
13C Cmethyl   |   13C Ccarboxyl   |   15N Namine,4.3373276450800004e-07,13C13C15N,1,100010001000000000000,0.0001452269682430904,3.455611456295622e-06,0.002988594613279645,1.2976642153216346e-05,4.340313391986899e-07,1.0775046956991782e-08,,,0.6883839892247609,24.842593962700356,0.2610516373467961,24.831985221483126
13C Cmethyl   |   13C Cgamma   |   33S Ssulfur,9.031239977645936e-07,13C13C33S,1,110000010000000000000,0.00030246197798188635,5.178112665742682e-07,0.002988594613279645,1.2976642153216346e-05,9.039363529413952e-07,4.242888876860929e-09,,,0.8994946195785817,4.698013658548439,-17.92430339698425,4.609658673194811
13C Cmethyl   |   17O Ocarboxyl   |   15N Namine,2.995365079908244e-08,13C17O15N,1,100000101000000000000,9.964710641197638e-06,1.5451020048908292e-07,0.002988594613279645,1.2976642153216346e-05,2.9781096529209713e-08,5.164810655946944e-10,,,-5.7607091379323165,17.242674993410684,-22.620389009154355,16.95028463710083
13C Cmethyl   |   17O Ocarboxyl   |   17O Ocarboxyl,1.55215855929258e-09,13C17O17O,1,100001100000000000000,5.183288510666392e-07,5.98122401632139e-09,0.002988594613279645,1.2976642153216346e-05,1.5490939043855802e-09,2.0590927951563563e-11,,,-1.9744470618996321,13.265995170588875,-40.12943233276328,12.758829949370767
13C Cmethyl   |   18O Ocarboxyl,4.308185153018702e-05,13C18O,1,100000200000000000000,0.014386552880367973,0.00016728645305252247,0.002988594613279645,1.2976642153216346e-05,4.299666853517541e-05,6.158015235157767e-07,,,-1.9772361675753354,14.293757153967507,-38.88533318705649,13.765156610042336
13C Ccarboxyl   |   33S Ssulfur   |   15N Namine,3.2667370806461856e-07,13C33S15N,1,000010011000000000000,0.00010899157008337405,1.4977829340667814e-06,0.002988594613279645,1.2976642153216346e-05,3.257404726141825e-07,5.272894174955534e-09,,,-2.8567816368351786,16.141164852827757,14.33613750961851,16.419473662569036
13C Ccarboxyl   |   34S Ssulfur,0.0004943357082907178,13C34S,1,000010020000000000000,0.16559197504591264,0.0004399731796257835,0.002988594613279645,1.2976642153216346e-05,0.0004948829389142307,1.4299001704906748e-06,,,1.1070020116602135,2.8925690507669204,10.402407208287565,2.9194269204372723
13C Calphabeta   |   34S Ssulfur,0.0009544299639057494,13C34S,1,000100020000000000000,0.3194719988764229,0.0005360029957546856,0.002988594613279645,1.2976642153216346e-05,0.000954774354442214,4.8673878695603836e-06,,,0.3608337431635553,5.099785268310201,5.076780875570261,5.1238269109862635
17O Ocarboxyl   |   17O Ocarboxyl   |   15N Namine,5.49785381768865e-10,17O17O15N,1,000001101000000000000,1.8353270047583802e-07,3.215777681405582e-10,0.002988594613279645,1.2976642153216346e-05,5.485048126062477e-10,2.5624063758987702e-12,,,-2.329216463518636,4.660739373707158,-15.946700540869392,4.59712365471701
17O Ocarboxyl   |   17O Ocarboxyl   |   33S Ssulfur,1.1690364057313248e-09,17O17O33S,1,000001110000000000000,3.903996256784878e-07,6.896489695794647e-10,0.002988594613279645,1.2976642153216346e-05,1.1667462246781407e-09,5.470515157102148e-12,,,-1.9590331335762885,4.679507952260824,-23.14694079094859,4.580164352482813
17O Ocarboxyl   |   18O Ocarboxyl,1.5814948468023792e-06,17O18O,1,000001200000000000000,0.0005271357268962228,9.190332208243415e-07,0.002988594613279645,1.2976642153216346e-05,1.5753944002514983e-06,7.242705467047302e-09,,,-3.8573926201630924,4.579657962016958,-37.46775306190787,4.425137962909434
17O Ocarboxyl   |   33S Ssulfur   |   15N Namine,2.2560136049921368e-08,17O33S15N,1,000000111000000000000,7.5425882626999385e-06,1.4038226988399304e-08,0.002988594613279645,1.2976642153216346e-05,2.254173998284233e-08,1.0676513729562057e-10,,,-0.8154235878004431,4.732468681011909,-0.3961201332415293,4.7344546408769626
17O Ocarboxyl   |   34S Ssulfur,3.413889932999085e-05,17O34S,1,000000120000000000000,0.011416183929245604,2.0697631916988952e-05,0.002988594613279645,1.2976642153216346e-05,3.411831772099505e-05,1.5445377664068563e-07,,,-0.6028785168741706,4.5242752306603755,-8.004228967536992,4.490769284127653
18O Ocarboxyl   |   15N Namine,1.52598921347498e-05,18O15N,1,000000201000000000000,0.005092223640423476,8.551925255848016e-06,0.002988594613279645,1.2976642153216346e-05,1.5218584546401145e-05,6.91935556136494e-08,,,-2.7069384228860307,4.534341068904538,-15.041554509238887,4.478259904355899
18O Ocarboxyl   |   33S Ssulfur,3.244787883530061e-05,18O33S,1,000000210000000000000,0.010831209088399667,1.9886744691737775e-05,0.002988594613279645,1.2976642153216346e-05,3.23700889798368e-05,1.5171258744247446e-07,,,-2.397378758057797,4.675577969596691,-22.307694013850465,4.582262024554553
34S Ssulfur   |   15N Namine,0.00016470364175642498,34S15N,1,000000021000000000000,0.05513096592045586,0.00023906108846732997,0.002988594613279645,1.2976642153216346e-05,0.00016476100640766027,1.64118882676131e-08,,,0.34829012050805125,0.09964496287145727,14.902446785868404,0.10109470634067591
,Stochastic U,Composition,Number,Condensed,M4 M+N Relative Abundance,M4 M+N Relative Abundance Error,UM4,UM4 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
13C Cmethyl   |   13C Cgamma   |   13C Calphabeta   |   13C Calphabeta,1.3238977823595952e-08,13C13C13C13C,1,111100000000000000000,3.5956513695721945e-05,5.9506940389063394e-08,0.0003681673068649555,4.370764183278166e-07,1.3238010875057668e-08,2.5993547049381533e-11,,,-0.0730380057409369,1.9634104230504124,-20.607127617292996,1.9230906326021535
13C Cgamma   |   13C Calphabeta   |   13C Calphabeta   |   13C Ccarboxyl,1.4074414581780608e-08,13C13C13C13C,1,011110000000000000000,3.825142403406068e-05,6.333399662240528e-08,0.0003681673068649555,4.370764183278166e-07,1.4082923612136061e-08,2.861478199501268e-11,,,0.6045743718871858,2.0331063738917177,-0.10981485530319439,2.031654822171446
13C Cgamma   |   13C Calphabeta   |   13C Calphabeta   |   15N Namine,4.689338233777204e-09,13C13C13C15N,1,011100001000000000000,1.27367012587102e-05,2.3383213081033382e-08,0.0003681673068649555,4.370764183278166e-07,4.689237144553807e-09,1.0317287651688611e-11,,,-0.021557247176753214,2.200158559127474,4.476200440815362,2.210054552531966
13C Cmethyl   |   13C Cgamma   |   34S Ssulfur,5.07429097788856e-06,13C13C34S,1,110000020000000000000,0.013792506943691024,2.247700617658515e-05,0.0003681673068649555,4.370764183278166e-07,5.077949952769591e-06,1.0146601125670839e-08,,,0.7210810134807841,1.9996096341114658,-15.98495377121369,1.96622815675771
13C Cmethyl   |   17O Ocarboxyl   |   17O Ocarboxyl   |   15N Namine,5.763101502440554e-12,13C17O17O15N,1,100001101000000000000,1.560531885913541e-08,1.7230038005153483e-10,0.0003681673068649555,4.370764183278166e-07,5.745370988274545e-12,6.404671795377568e-14,,,-3.0765576761936626,11.113237885304162,-31.54932873873383,10.795836704192169
13C Cmethyl   |   17O Ocarboxyl   |   18O Ocarboxyl,1.657795137874461e-08,13C17O18O,1,100001200000000000000,4.483956862291615e-05,4.82806360939463e-07,0.0003681673068649555,4.370764183278166e-07,1.6508456700503193e-08,1.7821876555975559e-10,,,-4.191994333542018,10.750349152806567,-52.33745992101006,10.230589759183976
13C Cmethyl   |   18O Ocarboxyl   |   15N Namine,1.5996115976366567e-07,13C18O15N,1,100000201000000000000,0.0004328143260749046,5.064409958265071e-05,0.0003681673068649555,4.370764183278166e-07,1.593485681785621e-07,1.865067652787328e-08,,,-3.8296270545231312,116.59503191542682,-31.02391032004727,113.41212424082316
13C Ccarboxyl   |   34S Ssulfur   |   15N Namine,1.8354483477890834e-06,13C34S15N,1,000010021000000000000,0.004986278431259268,5.21931793493003e-05,0.0003681673068649555,4.370764183278166e-07,1.8357843869688348e-06,1.93100771157418e-08,,,0.18308288552919083,10.520632268950546,19.619328641050636,10.725076433005853
15N Namine   |   D Hamine   |   D Hamine   |   D Hprotonated,1.3388681422333849e-14,15NDDD,1,000000001000000001101,3.548132334514651e-11,5.678869435710825e-14,0.0003681673068649555,4.370764183278166e-07,1.3063062798325909e-14,2.5796758185439043e-17,,,-24.320440059525364,1.926758683077418,222.06152811124622,2.4133104322559067
17O Ocarboxyl   |   17O Ocarboxyl   |   33S Ssulfur   |   15N Namine,4.340584553003733e-12,17O17O33S15N,1,000001111000000000000,1.1762827214521125e-08,1.9485692987270964e-11,0.0003681673068649555,4.370764183278166e-07,4.330688424928606e-12,8.829834692014262e-15,,,-2.2799067623932334,2.0342501301821,-13.642677367827412,2.011082592773562
17O Ocarboxyl   |   17O Ocarboxyl   |   34S Ssulfur,6.568345986939394e-09,17O17O34S,1,000001120000000000000,-9.335166364844973e-06,0.0006000334460420094,0.0003681673068649555,4.370764183278166e-07,-3.4344133962635397e-09,2.209100079860513e-07,,,-1522.8733996492545,33632.516987581366,-1512.8751036530718,32989.40173221722
17O Ocarboxyl   |   18O Ocarboxyl   |   15N Namine,5.872025942931224e-09,17O18O15N,1,000001201000000000000,1.5881687970474015e-05,2.6193709289163085e-08,0.0003681673068649555,4.370764183278166e-07,5.847117662042099e-09,1.1569514222823236e-11,,,-4.24185470759052,1.97027641486337,-28.165479942530787,1.9229394638363817
17O Ocarboxyl   |   18O Ocarboxyl   |   33S Ssulfur,1.2485985132233586e-08,17O18O33S,1,000001210000000000000,3.377315453553116e-05,5.20021618027783e-07,0.0003681673068649555,4.370764183278166e-07,1.2434174327674876e-08,1.922123632127939e-10,,,-4.149516758989796,15.394248926068482,-35.54471506601228,14.908929587518122
17O Ocarboxyl   |   34S Ssulfur   |   15N Namine,1.2675634254145207e-07,17O34S15N,1,000000121000000000000,0.00034396529125088333,5.67976270391108e-07,0.0003681673068649555,4.370764183278166e-07,1.2663677200585958e-07,2.561077592440165e-10,,,-0.9433100797569021,2.020472933417624,1.628193885577474,2.0256734933183287
18O Ocarboxyl   |   18O Ocarboxyl,4.222819975295279e-06,18O18O,1,000002200000000000000,0.011404069533949885,1.8615119733822402e-05,0.0003681673068649555,4.370764183278166e-07,4.198605344565188e-06,8.362357812881757e-09,,,-5.734232307263141,1.9802780752681794,-49.387884393305654,1.8933331426954956
18O Ocarboxyl   |   33S Ssulfur   |   15N Namine,1.2047765232951343e-07,18O33S15N,1,000000211000000000000,0.0003266417891344278,5.1031747784449454e-05,0.0003681673068649555,4.370764183278166e-07,1.202583304962175e-07,1.8785727253878557e-08,,,-1.8204358157311835,155.92706938294666,-11.906660192630277,154.35148572579777
18O Ocarboxyl   |   34S Ssulfur,0.00018231159755817308,18O34S,1,000000220000000000000,0.4939696282710227,0.00041352545974434013,0.0003681673068649555,4.370764183278166e-07,0.0001818634682122977,2.6451138090917844e-07,,,-2.4580408041893316,1.4508752292885585,-20.261927700280705,1.4249803601610358
36S Ssulfur,0.00010616411965228116,36S,1,000000040000000000000,0.2885774940880306,0.00034142580236042394,0.0003681673068649555,4.370764183278166e-07,0.00010624465009886185,1.0392451367586755e-08,9.220226255883496,0.09871812002571337,,,9.2202262558835,0.09871812002571337
